,POS,Pitch accent
440,助詞,0
441,接続詞,1
442,名詞,0
443,接続詞,0
444,名詞,0
445,名詞,1
446,助詞,0
447,名詞,2
448,感動詞,1
449,感動詞,1
450,助詞,0
451,名詞,2
452,名詞,0
453,連体詞,0
454,動詞,1
455,動詞,2
456,動詞,0
457,名詞,1
458,名詞,0
459,名詞,2
460,名詞,3
461,名詞,0
462,名詞,1
463,助詞,0
464,助詞,1
465,名詞,2
466,名詞,0
467,形容詞,3
468,代名詞,1
469,代名詞,2
470,助動詞,1000
471,助動詞,0000
472,名詞,0
473,名詞,1
474,助詞,0
475,名詞,4
476,感動詞,1
477,助動詞,10
478,名詞,0
479,助詞,0
480,助詞,0
481,名詞,2
482,名詞,3
483,助詞,0
484,接続詞,1
485,助動詞,0
486,助詞,0
487,名詞,2
488,名詞,1
489,接続詞,1
490,名詞,3
491,助詞,0
492,名詞,1
493,助動詞,10
494,接続詞,1
495,動詞,0
496,形状詞,1
497,形状詞,0
498,接続詞,0
499,名詞,2
500,助動詞,00
501,形容詞,1
502,助詞,0
503,接続詞,1
504,動詞,1
505,代名詞,1
506,代名詞,2
507,名詞,1
508,助詞,0
509,助詞,1
510,名詞,2
511,名詞,0
512,形容詞,3
513,代名詞,1
514,代名詞,2
515,助動詞,1000
516,助動詞,0000
517,名詞,0
518,名詞,1
519,助詞,0
520,名詞,4
521,助動詞,10
522,動詞,0
523,助詞,0
524,名詞,2
525,名詞,1
526,名詞,2
527,接続詞,1
528,接続詞,1
529,動詞,0
530,名詞,1
531,接頭辞,1
532,助動詞,10
533,名詞,0
534,助詞,0
535,助詞,1
536,助詞,1
537,助詞,0
538,動詞,0
539,動詞,4
540,名詞,2
541,助詞,0
542,助詞,0
543,名詞,2
544,名詞,1
545,助詞,0
546,動詞,3
547,名詞,1
548,名詞,1
549,助詞,0
550,助詞,1
551,名詞,2
552,名詞,0
553,形容詞,3
554,代名詞,1
555,代名詞,2
556,助動詞,1000
557,助動詞,0000
558,名詞,0
559,名詞,1
560,助詞,0
561,名詞,4
562,助動詞,10
563,接続詞,1
564,動詞,1
565,接続詞,1
566,感動詞,1
567,助詞,0
568,名詞,1
569,助詞,0
570,名詞,1
571,助動詞,1
572,動詞,0
573,助詞,0
574,接続詞,1
575,名詞,0
576,名詞,1
577,助動詞,10
578,動詞,2
579,接続詞,0
580,助詞,0
581,名詞,1
582,名詞,1
583,助動詞,00
584,形容詞,1
585,助詞,1
586,名詞,0
587,代名詞,1
588,代名詞,2
589,助動詞,10
590,感動詞,1
591,接続詞,1
592,名詞,1
593,接続詞,1
594,名詞,0
595,助詞,1
596,名詞,0
597,助詞,0
598,動詞,1
599,助詞,0
600,助詞,1
601,動詞,0
602,接続詞,1
603,動詞,3
604,接続詞,0
605,代名詞,1
606,代名詞,2
607,助詞,0
608,助詞,1
609,名詞,3
610,名詞,0
611,助詞,0
612,名詞,1
613,助詞,0
614,名詞,1
615,名詞,3
616,助動詞,1
617,形状詞,0
618,動詞,1
619,助詞,0
620,名詞,1
621,助動詞,1
622,形状詞,0
623,動詞,1
624,助詞,1
625,名詞,0
626,助詞,1
627,名詞,0
628,助詞,0
629,助詞,0
630,代名詞,1
631,代名詞,2
632,助動詞,10
633,感動詞,1
634,接続詞,1
635,名詞,1
636,接続詞,1
637,名詞,0
638,助詞,1
639,名詞,0
640,助詞,0
641,助動詞,1
642,助動詞,0
643,助動詞,0
644,助動詞,1
645,感動詞,1
646,代名詞,1
647,接続詞,1
648,動詞,3
649,助詞,0
650,助詞,0
651,代名詞,1
652,代名詞,2
653,助詞,0
654,助詞,1
655,名詞,3
656,名詞,0
657,動詞,3
658,動詞,0
659,名詞,2
660,連体詞,0
661,名詞,1
662,助詞,0
663,名詞,1
664,動詞,1
665,助詞,0
666,名詞,3
667,連体詞,0
668,助詞,0
669,助動詞,0
670,形容詞,1
671,助詞,0
672,名詞,3
673,助詞,0
674,名詞,1
675,助動詞,1
676,動詞,0
677,助動詞,10
678,感動詞,1
679,接続詞,1
680,名詞,1
681,接続詞,1
682,名詞,0
683,助詞,1
684,名詞,0
685,助詞,0
686,動詞,1
687,助詞,0
688,助詞,1
689,動詞,0
690,接続詞,1
691,動詞,0
692,接続詞,0
693,代名詞,1
694,代名詞,2
695,接続詞,1
696,名詞,1
697,連体詞,1
698,助動詞,0
699,動詞,2
700,助詞,0
701,助詞,1
702,名詞,3
703,名詞,0
704,助詞,1
705,名詞,0
706,助詞,0
707,助動詞,0
708,動詞,2
709,助詞,1
710,名詞,0
711,接続詞,1
712,名詞,3
713,名詞,0
714,助詞,0
715,助動詞,0
716,助動詞,1
717,動詞,0
718,助詞,1
719,助詞,0
720,名詞,0
721,名詞,2
722,助動詞,1
723,動詞,0
724,助詞,0
725,名詞,1
726,助詞,0
727,名詞,1
728,助詞,1
729,助詞,0
730,動詞,2
731,助詞,0
732,名詞,1
733,助詞,1
734,助詞,0
735,動詞,2
736,助詞,0
737,接続詞,1
738,代名詞,1
739,助動詞,00
740,動詞,1
741,助詞,0
742,助詞,0
743,動詞,2
744,動詞,1
745,助詞,0
746,名詞,1
747,名詞,1
748,名詞,0
749,助詞,1
750,名詞,0
751,助詞,0
752,名詞,1
753,助詞,1
754,助詞,0
755,動詞,2
756,助詞,0
757,接続詞,1
758,代名詞,1
759,助動詞,00
760,動詞,1
761,助詞,0
762,助詞,0
763,動詞,2
764,動詞,1
765,助詞,0
766,名詞,1
767,名詞,1
768,名詞,0
769,助詞,1
770,名詞,0
771,助動詞,000
772,動詞,2
773,動詞,1
774,接続詞,0
775,名詞,3
776,助詞,1
777,助詞,0
778,名詞,3
779,感動詞,1
780,動詞,2
781,動詞,1
782,名詞,0
783,助詞,1
784,動詞,0
785,助詞,0
786,助動詞,10
787,動詞,2
788,助詞,0
789,名詞,1
790,助詞,1
791,助詞,0
792,動詞,2
793,助詞,0
794,助詞,1
795,代名詞,0
796,助詞,0
797,名詞,1
798,助詞,1
799,助詞,1
800,助詞,0
801,助詞,0
802,動詞,2
803,動詞,1
804,助詞,0
805,名詞,1
806,名詞,1
807,名詞,0
808,名詞,1
809,名詞,3
810,接続詞,1
811,助動詞,0
812,名詞,2
813,助動詞,0
814,接続詞,1
815,動詞,0
816,助詞,1
817,名詞,0
818,接続詞,1
819,名詞,1
820,動詞,1
821,名詞,0
822,名詞,1
823,動詞,3
824,助詞,0
825,名詞,1
826,連体詞,0
827,助詞,0
828,形容詞,1
829,助詞,1
830,助詞,0
831,副詞,2
832,助詞,1
833,名詞,0
834,形状詞,0
835,名詞,1
836,副詞,3
837,副詞,2
838,助詞,0
839,助詞,0
840,動詞,2
841,動詞,1
842,助詞,0
843,名詞,1
844,名詞,1
845,名詞,0
846,動詞,1
847,助詞,1
848,名詞,0
849,助詞,1
850,助詞,0
851,名詞,1
852,助詞,1
853,助詞,1
854,助詞,0
855,助詞,0
856,名詞,2
857,名詞,3
858,動詞,1
859,接続詞,0
860,名詞,0
861,助詞,1
862,助詞,0
863,名詞,1
864,助詞,1
865,助詞,0
866,名詞,1
867,名詞,3
868,形容詞,3
869,名詞,3
870,名詞,0
871,名詞,2
872,助詞,0
873,名詞,1
874,動詞,3
875,助詞,1
876,名詞,0
877,助詞,0
878,接続詞,1
879,名詞,0
880,名詞,1
881,連体詞,1
882,助動詞,1
883,名詞,1
884,助詞,1
885,副詞,0
886,動詞,0
887,動詞,2
888,助詞,0
889,助動詞,0
890,名詞,2
891,形容詞,2
892,動詞,1
893,名詞,1
894,接続詞,0
895,名詞,1
896,名詞,1
897,名詞,1
898,助詞,0
899,名詞,1
900,助詞,0
901,名詞,2
902,名詞,3
903,形容詞,3
904,接続詞,0
905,名詞,1
906,名詞,1
907,名詞,2
908,名詞,3
909,助詞,0
910,名詞,1
911,助詞,0
912,名詞,3
913,動詞,2
914,接続詞,1
915,助動詞,1
916,名詞,2
917,接続詞,1
918,動詞,0
919,助動詞,1
920,名詞,1
921,助詞,0
922,助詞,1
923,名詞,4
924,名詞,0
925,助詞,0
926,名詞,2
927,形容詞,3
928,接続詞,1
929,動詞,1
930,動詞,0
931,名詞,1
932,助詞,0
933,名詞,4
934,名詞,3
935,形容詞,3
936,名詞,1
937,名詞,1
938,助詞,0
939,助詞,0
940,名詞,1
941,名詞,2
942,助動詞,1
943,動詞,0
944,助動詞,1
945,名詞,1
946,接続詞,0
947,名詞,2
948,助詞,0
949,名詞,1
950,助動詞,0
951,助動詞,1
952,名詞,1
953,接続詞,0
954,名詞,1
955,名詞,2
956,助詞,0
957,助動詞,1
958,助動詞,1
959,名詞,3
960,名詞,0
961,助詞,1
962,名詞,0
963,助詞,1
964,代名詞,0
965,助詞,0
966,名詞,1
967,動詞,0
968,助詞,0
969,感動詞,1
970,名詞,0
971,名詞,1
972,名詞,2
973,名詞,3
974,助詞,0
975,名詞,2
976,助詞,0
977,名詞,2
978,動詞,2
979,助詞,1
980,名詞,0
981,助詞,0
982,名詞,4
983,名詞,1
984,助詞,0
985,助詞,0
986,代名詞,1
987,代名詞,2
988,名詞,0
989,助詞,0
990,助詞,0
991,代名詞,1
992,代名詞,2
993,助動詞,1
994,動詞,0
995,接続詞,1
996,名詞,3
997,動詞,4
998,動詞,0
999,名詞,1
1000,接続詞,0
1001,名詞,1
1002,助詞,0
1003,名詞,1
1004,助詞,0
1005,助動詞,10
1006,動詞,0
1007,動詞,1
1008,副詞,1
1009,副詞,0
1010,副詞,0
1011,動詞,0
1012,助詞,0
1013,名詞,1
1014,助詞,0
1015,接続詞,1
1016,形容詞,2
1017,形容詞,0
1018,名詞,3
1019,助詞,0
1020,名詞,1
1021,助詞,0
1022,名詞,1
1023,助詞,0
1024,名詞,2
1025,動詞,0
1026,名詞,0
1027,助詞,1
1028,名詞,0
1029,助詞,1
1030,名詞,0
1031,代名詞,1
1032,代名詞,2
1033,形容詞,1
1034,動詞,2
1035,助詞,1
1036,助詞,0
1037,代名詞,2
1038,助詞,1
1039,名詞,0
1040,助詞,0
1041,副詞,1
1042,動詞,3
1043,助詞,0
1044,名詞,1
1045,副詞,0
1046,接続詞,1
1047,形容詞,0
1048,助詞,1
1049,助詞,0
1050,助詞,0
1051,助詞,1
1052,名詞,4
1053,名詞,0
1054,助詞,0
1055,名詞,1
1056,助詞,0
1057,名詞,2
1058,助動詞,0
1059,名詞,1
1060,助詞,1
1061,助詞,0
1062,名詞,0
1063,名詞,1
1064,名詞,3
1065,助詞,0
1066,名詞,2
1067,助詞,0
1068,名詞,2
1069,接続詞,1
1070,動詞,0
1071,助詞,0
1072,助詞,1
1073,名詞,1
1074,名詞,0
1075,助詞,0
1076,助動詞,10
1077,動詞,4
1078,動詞,0
1079,名詞,1
1080,連体詞,1
1081,接続詞,0
1082,代名詞,0
1083,接続詞,1
1084,助動詞,0
1085,助詞,0
1086,助動詞,0
1087,名詞,1
1088,助詞,0
1089,名詞,3
1090,形状詞,0
1091,動詞,0
1092,接続詞,1
1093,副詞,1
1094,助詞,0
1095,名詞,1
1096,助詞,0
1097,名詞,2
1098,接続詞,0
1099,助詞,0
1100,助動詞,1
1101,助詞,0
1102,名詞,1
1103,感動詞,1
1104,助詞,0
1105,助詞,1
1106,助詞,1
1107,助詞,0
1108,助詞,0
1109,助詞,1
1110,形容詞,3
1111,形容詞,0
1112,接頭辞,1
1113,接続詞,1
1114,形容詞,1
1115,助動詞,0
1116,助詞,0
1117,名詞,4
1118,動詞,0
1119,接頭辞,1
1120,接続詞,1
1121,動詞,2
1122,動詞,0
1123,助詞,0
1124,助詞,0
1125,名詞,2
1126,名詞,3
1127,助動詞,1
1128,動詞,2
1129,名詞,0
1130,形状詞,1
1131,助動詞,1
1132,名詞,1
1133,形状詞,1
1134,名詞,1
1135,名詞,0
1136,動詞,2
1137,助詞,0
1138,接続詞,1
1139,動詞,0
1140,助詞,0
1141,名詞,2
1142,名詞,1
1143,助動詞,1
1144,動詞,0
1145,助詞,0
1146,名詞,1
1147,名詞,1
1148,助詞,0
1149,名詞,1
1150,名詞,3
1151,名詞,1
1152,名詞,1
1153,連体詞,0
1154,助動詞,10
1155,動詞,0
1156,助詞,0
1157,名詞,1
1158,助詞,0
1159,名詞,4
1160,動詞,0
1161,助詞,0
1162,名詞,1
1163,連体詞,1
1164,形状詞,1
1165,形容詞,0
1166,形状詞,1
1167,接尾辞,1
1168,名詞,1
1169,名詞,1
1170,助詞,0
1171,名詞,1
1172,助詞,0
1173,名詞,1
1174,動詞,2
1175,助詞,1
1176,名詞,0
1177,助詞,0
1178,助詞,1
1179,名詞,1
1180,名詞,0
1181,接頭辞,1
1182,助動詞,1
1183,動詞,0
1184,動詞,2
1185,助詞,0
1186,名詞,1
1187,接続詞,1
1188,副詞,1
1189,副詞,0
1190,助詞,0
1191,名詞,2
1192,接続詞,0
1193,名詞,1
1194,助詞,0
1195,名詞,2
1196,助動詞,1
1197,名詞,3
1198,接続詞,1
1199,名詞,2
1200,名詞,0
1201,形状詞,1
1202,助動詞,0
1203,名詞,1
1204,形状詞,1
1205,名詞,1
1206,動詞,1
1207,動詞,0
1208,助詞,1
1209,名詞,0
1210,接続詞,0
1211,名詞,1
1212,形容詞,0
1213,副詞,0
1214,感動詞,1
1215,助詞,0
1216,名詞,1
1217,助詞,0
1218,代名詞,2
1219,助詞,0
1220,名詞,1
1221,形容詞,1
1222,助動詞,0
1223,助詞,0
1224,名詞,3
1225,助詞,1
1226,代名詞,0
1227,助詞,0
1228,名詞,1
1229,動詞,3
1230,動詞,0
1231,名詞,3
1232,副詞,1
1233,名詞,0
1234,動詞,1
1235,形容詞,2
1236,感動詞,1
1237,名詞,1
1238,助詞,0
1239,助詞,0
1240,名詞,2
1241,名詞,3
1242,副詞,0
1243,動詞,2
1244,動詞,0
1245,助詞,0
1246,名詞,1
1247,接続詞,1
1248,名詞,2
1249,名詞,0
1250,名詞,2
1251,名詞,1
1252,助詞,0
1253,名詞,2
1254,名詞,0
1255,助詞,1
1256,名詞,0
1257,形状詞,1
1258,動詞,2
1259,接続詞,0
1260,名詞,1
1261,助詞,1
1262,助詞,0
1263,助動詞,0
1264,副詞,1
1265,動詞,3
1266,接続詞,1
1267,動詞,3
1268,助詞,0
1269,名詞,2
1270,助詞,0
1271,名詞,1
1272,接続詞,1
1273,動詞,0
1274,名詞,0
1275,助詞,0
1276,名詞,1
1277,助詞,1
1278,助詞,0
1279,助動詞,1
1280,動詞,0
1281,接続詞,1
1282,名詞,2
1283,助詞,0
1284,名詞,1
1285,助動詞,0
1286,接続詞,1
1287,名詞,0
1288,助詞,1
1289,形状詞,0
1290,助動詞,0
1291,動詞,1
1292,助詞,1
1293,形状詞,0
1294,助詞,0
1295,形容詞,3
1296,接続詞,0
1297,名詞,3
1298,助動詞,1
1299,名詞,1
1300,副詞,0
1301,動詞,0
1302,助詞,0
1303,名詞,1
1304,接続詞,1
1305,動詞,0
1306,助詞,0
1307,名詞,1
1308,助詞,0
1309,名詞,2
1310,名詞,3
1311,名詞,0
1312,助詞,0
1313,名詞,1
1314,名詞,2
1315,助詞,0
1316,助詞,0
1317,名詞,2
1318,名詞,1
1319,名詞,0
1320,助詞,1
1321,代名詞,0
1322,動詞,1
1323,助詞,1
1324,名詞,0
1325,助詞,0
1326,名詞,1
1327,名詞,0
1328,接続詞,1
1329,動詞,0
1330,助詞,1
1331,代名詞,0
1332,動詞,1
1333,接続詞,1
1334,動詞,0
1335,副詞,0
1336,動詞,2
1337,助詞,1
1338,代名詞,0
1339,接続詞,1
1340,名詞,2
1341,助詞,0
1342,名詞,1
1343,形容詞,1
1344,動詞,0
1345,助詞,1
1346,代名詞,0
1347,動詞,0
1348,名詞,0
1349,名詞,2
1350,名詞,3
1351,助動詞,10
1352,動詞,0
1353,助詞,0
1354,助詞,0
1355,代名詞,1
1356,代名詞,2
1357,接続詞,1
1358,動詞,1
1359,助詞,0
1360,名詞,1
1361,動詞,0
1362,副詞,1
1363,助詞,0
1364,形容詞,1
1365,副詞,0
1366,副詞,1
1367,助詞,0
1368,接続詞,1
1369,形容詞,0
1370,動詞,2
1371,動詞,0
1372,接続詞,0
1373,名詞,2
1374,代名詞,1
1375,代名詞,2
1376,形状詞,0
1377,名詞,0
1378,助詞,0
1379,接続詞,1
1380,動詞,2
1381,助詞,0
1382,接続詞,1
1383,動詞,2
1384,名詞,0
1385,名詞,0
1386,名詞,2
1387,名詞,3
1388,名詞,2
1389,助詞,1
1390,名詞,0
1391,名詞,1
1392,名詞,2
1393,名詞,3
1394,動詞,0
1395,名詞,0
1396,名詞,2
1397,名詞,3
1398,助動詞,10
1399,動詞,0
1400,助詞,0
1401,助詞,0
1402,代名詞,1
1403,代名詞,2
1404,接続詞,1
1405,動詞,1
1406,助詞,0
1407,名詞,1
1408,動詞,0
1409,副詞,1
1410,助詞,0
1411,形容詞,1
1412,副詞,0
1413,副詞,1
1414,助詞,0
1415,接続詞,1
1416,形容詞,0
1417,動詞,2
1418,動詞,0
1419,接続詞,0
1420,名詞,2
1421,代名詞,1
1422,代名詞,2
1423,形状詞,0
1424,名詞,0
1425,助詞,0
1426,接続詞,1
1427,動詞,2
1428,助詞,0
1429,接続詞,1
1430,動詞,2
1431,名詞,1
1432,名詞,0
1433,名詞,3
1434,名詞,0
1435,名詞,1
1436,名詞,1
1437,名詞,3
1438,名詞,2
1439,名詞,1
1440,形容詞,4
1441,名詞,0
1442,助詞,0
1443,接続詞,1
1444,名詞,1
1445,接続詞,1
1446,形容詞,2
1447,助詞,0
1448,助動詞,0
1449,動詞,1
1450,接続詞,1
1451,名詞,3
1452,名詞,1
1453,名詞,1
1454,助詞,0
1455,名詞,1
1456,助動詞,0
1457,動詞,2
1458,助詞,0
1459,動詞,3
1460,副詞,0
1461,動詞,0
1462,助詞,0
1463,名詞,1
1464,動詞,0
1465,名詞,0
1466,名詞,2
1467,名詞,3
1468,助動詞,10
1469,動詞,0
1470,助詞,0
1471,助詞,0
1472,代名詞,1
1473,代名詞,2
1474,名詞,3
1475,助詞,0
1476,名詞,1
1477,動詞,0
1478,副詞,1
1479,助詞,0
1480,形容詞,1
1481,副詞,0
1482,副詞,1
1483,助詞,0
1484,接続詞,1
1485,接続詞,0
1486,代名詞,1
1487,動詞,0
1488,接続詞,0
1489,名詞,2
1490,代名詞,1
1491,代名詞,2
1492,助詞,1
1493,助詞,0
1494,名詞,0
1495,名詞,2
1496,助詞,0
1497,名詞,1
1498,動詞,2
1499,名詞,0
1500,名詞,4
1501,名詞,0
1502,接続詞,1
1503,動詞,3
1504,名詞,0
1505,助動詞,00
1506,形容詞,1
1507,接続詞,1
1508,名詞,0
1509,助詞,0
1510,助詞,0
1511,代名詞,1
1512,代名詞,2
1513,助動詞,1
1514,助動詞,10
1515,動詞,1
1516,助詞,1
1517,助詞,0
1518,代名詞,2
1519,助動詞,0
1520,副詞,1
1521,動詞,0
1522,助詞,0
1523,助詞,0
1524,代名詞,1
1525,代名詞,2
1526,助詞,0
1527,助動詞,0
1528,代名詞,1
1529,接続詞,0
1530,名詞,0
1531,名詞,3
1532,形容詞,1
1533,動詞,1
1534,名詞,3
1535,助動詞,10
1536,名詞,0
1537,接続詞,1
1538,副詞,1
1539,接続詞,1
1540,助動詞,0
1541,名詞,2
1542,助動詞,0
1543,動詞,5
1544,助詞,0
1545,形容詞,1
1546,動詞,3
1547,助詞,1
1548,助詞,0
1549,形容詞,1
1550,助詞,0
1551,形容詞,1
1552,助詞,0
1553,接続詞,1
1554,動詞,0
1555,助詞,0
1556,接続詞,1
1557,名詞,1
1558,助詞,0
1559,名詞,1
1560,助詞,0
1561,接続詞,1
1562,動詞,0
1563,助詞,0
1564,接続詞,1
1565,助詞,0
1566,名詞,1
1567,助動詞,1
1568,助動詞,1
1569,動詞,0
1570,助詞,0
1571,助詞,1
1572,名詞,3
1573,名詞,0
1574,助詞,0
1575,名詞,1
1576,助詞,0
1577,助詞,1
1578,名詞,2
1579,名詞,0
1580,動詞,0
1581,名詞,3
1582,名詞,1
1583,助詞,0
1584,名詞,1
1585,助詞,0
1586,代名詞,1
1587,助詞,1
1588,名詞,0
1589,助動詞,00
1590,動詞,1
1591,代名詞,1
1592,代名詞,2
1593,接続詞,1
1594,名詞,2
1595,助詞,0
1596,名詞,1
1597,助詞,1
1598,助詞,0
1599,形容詞,1
1600,助詞,0
1601,形容詞,1
1602,助動詞,10
1603,名詞,0
1604,接続詞,1
1605,動詞,3
1606,名詞,0
1607,助詞,0
1608,助詞,0
1609,代名詞,1
1610,代名詞,2
1611,助詞,0
1612,形容詞,2
